subject/task,binary-stress,affect3-class,affect4-class
8i4i-Speaking,0,1,3
8i4i-Stroop,0,1,3
8i4i-Video1,0,1,3
8i4i-Video2,0,1,3
7h5u-Breathing,0,0,0
7h5u-Counting1,0,1,3
7h5u-Counting2,0,1,1
7h5u-Counting3,1,1,1
7h5u-Math,0,1,3
7h5u-Reading,1,1,1
7h5u-Relax,0,1,3
7h5u-Speaking,1,1,1
7h5u-Stroop,1,2,2
7h5u-Video1,0,1,3
7h5u-Video2,0,1,3
h8s1-Breathing,0,1,3
h8s1-Counting1,1,2,2
h8s1-Counting2,1,2,2
h8s1-Counting3,1,1,1
h8s1-Math,1,1,1
h8s1-Reading,1,2,2
h8s1-Relax,0,0,0
h8s1-Speaking,1,2,2
h8s1-Stroop,1,2,2
h8s1-Video1,0,0,0
h8s1-Video2,0,0,0
i9t9-Breathing,1,1,1
i9t9-Counting1,0,1,1
i9t9-Counting2,1,1,1
i9t9-Counting3,1,1,1
i9t9-Math,1,1,1
i9t9-Reading,1,1,1
i9t9-Relax,0,1,1
i9t9-Speaking,1,1,1
i9t9-Stroop,1,1,1
i9t9-Video1,0,1,1
i9t9-Video2,0,1,1
j1u8-Breathing,0,1,3
j1u8-Counting1,0,1,3
j1u8-Counting2,0,1,3
j1u8-Counting3,0,1,3
j1u8-Math,0,1,3
j1u8-Reading,0,1,3
j1u8-Relax,0,1,3
j1u8-Speaking,0,1,3
j1u8-Stroop,0,1,3
j1u8-Video1,0,1,3
j1u8-Video2,0,1,3
m8g5-Breathing,0,1,3
m8g5-Counting1,1,1,1
m8g5-Counting2,1,2,2
m8g5-Counting3,0,1,1
m8g5-Math,0,1,3
m8g5-Reading,1,1,1
m8g5-Relax,0,1,3
m8g5-Speaking,0,1,3
m8g5-Stroop,1,1,1
m8g5-Video1,0,1,3
m8g5-Video2,0,1,3
p9i3-Breathing,0,1,3
p9i3-Counting1,1,2,2
p9i3-Counting2,0,1,3
p9i3-Counting3,1,1,1
p9i3-Math,0,1,1
p9i3-Reading,0,1,3
p9i3-Relax,0,1,3
p9i3-Speaking,0,1,1
p9i3-Stroop,0,1,1
p9i3-Video1,0,1,3
p9i3-Video2,1,2,2
g9j5-Breathing,1,0,0
g9j5-Counting1,1,0,0
g9j5-Counting2,1,0,0
g9j5-Counting3,0,0,0
g9j5-Math,1,0,0
g9j5-Reading,0,0,0
g9j5-Relax,0,0,0
g9j5-Speaking,0,0,0
g9j5-Stroop,1,0,0
g9j5-Video1,1,0,0
g9j5-Video2,1,0,0
h7j3-Breathing,0,1,3
h7j3-Counting1,0,1,3
h7j3-Counting2,0,1,3
h7j3-Counting3,0,1,3
h7j3-Math,0,1,3
h7j3-Reading,0,1,3
h7j3-Relax,0,1,3
h7j3-Speaking,0,1,3
h7j3-Stroop,0,1,3
h7j3-Video1,0,1,3
h7j3-Video2,0,1,3
y8c3-Breathing,0,1,3
y8c3-Counting1,0,1,3
y8c3-Counting2,0,1,3
y8c3-Counting3,0,0,0
y8c3-Math,0,0,0
y8c3-Reading,0,0,0
y8c3-Relax,0,0,0
y8c3-Speaking,0,1,3
y8c3-Stroop,0,0,0
y8c3-Video1,0,1,3
y8c3-Video2,0,1,3
g7r2-Breathing,0,0,0
g7r2-Counting1,0,1,1
g7r2-Counting2,0,1,1
g7r2-Counting3,0,1,1
g7r2-Math,0,0,0
g7r2-Reading,0,0,0
g7r2-Relax,0,0,0
g7r2-Speaking,0,1,3
g7r2-Stroop,1,2,2
g7r2-Video1,0,1,3
g7r2-Video2,0,1,3
f6q3-Breathing,0,0,0
f6q3-Counting1,0,0,0
f6q3-Counting2,0,0,0
f6q3-Counting3,0,0,0
f6q3-Math,0,0,0
f6q3-Reading,0,1,1
f6q3-Relax,0,0,0
f6q3-Speaking,0,0,0
f6q3-Stroop,0,0,0
f6q3-Video1,0,0,0
f6q3-Video2,0,0,0
e5p4-Breathing,0,0,0
e5p4-Counting1,0,0,0
e5p4-Counting2,0,0,0
e5p4-Counting3,0,0,0
e5p4-Math,0,0,0
e5p4-Reading,0,0,0
e5p4-Relax,0,0,0
e5p4-Speaking,0,0,0
e5p4-Stroop,0,0,0
e5p4-Video1,0,0,0
e5p4-Video2,0,0,0
d4n6-Breathing,0,0,0
d4n6-Counting1,1,1,1
d4n6-Counting2,0,1,1
d4n6-Counting3,0,1,1
d4n6-Math,1,1,1
d4n6-Reading,1,1,1
d4n6-Relax,0,0,0
d4n6-Speaking,1,1,1
d4n6-Stroop,1,1,1
d4n6-Video1,0,1,3
d4n6-Video2,1,1,1
c3m7-Breathing,1,1,1
c3m7-Counting1,1,1,1
c3m7-Counting2,1,1,1
c3m7-Counting3,1,1,1
c3m7-Math,1,1,1
c3m7-Reading,1,1,1
c3m7-Relax,0,1,1
c3m7-Speaking,1,1,1
c3m7-Stroop,1,1,1
c3m7-Video1,1,1,1
c3m7-Video2,0,1,3
b2l8-Breathing,0,1,3
b2l8-Counting1,1,1,1
b2l8-Counting2,1,1,1
b2l8-Counting3,1,1,1
b2l8-Math,1,2,2
b2l8-Reading,0,1,1
b2l8-Relax,0,1,1
b2l8-Speaking,1,1,1
b2l8-Stroop,1,1,1
b2l8-Video1,0,1,3
b2l8-Video2,0,1,1
a1k9-Breathing,0,1,1
a1k9-Counting1,1,1,1
a1k9-Counting2,1,2,2
a1k9-Counting3,1,1,1
a1k9-Math,1,1,1
a1k9-Reading,1,1,1
a1k9-Relax,0,0,0
a1k9-Speaking,1,1,1
a1k9-Stroop,1,1,1
a1k9-Video1,0,1,1
a1k9-Video2,0,1,3
t6v9-Breathing,0,0,0
t6v9-Counting1,1,2,2
t6v9-Counting2,0,1,1
t6v9-Counting3,0,1,3
t6v9-Math,1,2,2
t6v9-Reading,0,1,1
t6v9-Relax,0,1,3
t6v9-Speaking,1,1,1
t6v9-Stroop,0,1,1
t6v9-Video1,0,1,3
t6v9-Video2,0,1,1
b9w0-Breathing,0,1,3
b9w0-Counting1,0,1,3
b9w0-Counting2,1,2,2
b9w0-Counting3,1,1,1
b9w0-Math,1,1,1
b9w0-Reading,1,1,1
b9w0-Relax,0,1,1
b9w0-Speaking,1,2,2
b9w0-Stroop,1,2,2
b9w0-Video1,0,1,3
b9w0-Video2,0,1,3
