Task(hh2e_Breathing) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 5.0, Relaxed: 6.0] [Valence: None, Arousal: None
Task(ql3b_Counting3) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 9.0, Relaxed: 1.0] [Valence: 6.0, Arousal: 10.0
Task(ql3b_Math) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 7.0, Relaxed: 1.0] [Valence: 7.0, Arousal: 9.0
Task(ql3b_Reading) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 9.0, Relaxed: 0.0] [Valence: 6.0, Arousal: 10.0
Task(ql3b_Relax) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 0.0, Relaxed: 10.0] [Valence: 8.0, Arousal: 8.0
Task(ql3b_Speaking) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 8.0, Relaxed: 0.0] [Valence: 5.0, Arousal: 10.0
Task(ql3b_Stroop) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 8.0, Relaxed: 1.0] [Valence: 5.0, Arousal: 9.0
Task(ql3b_Video1) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 0.0, Relaxed: 10.0] [Valence: 8.0, Arousal: 4.0
Task(ql3b_Video2) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 9.0, Relaxed: 2.0] [Valence: 3.0, Arousal: 3.0
Task(r0a3_Breathing) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 0.0, Relaxed: 10.0] [Valence: 8.0, Arousal: 1.0
Task(r0a3_Counting1) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 5.0, Relaxed: 7.0] [Valence: 5.0, Arousal: 3.0
Task(r0a3_Counting2) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 7.0, Relaxed: 3.0] [Valence: 5.0, Arousal: 2.0
Task(r0a3_Counting3) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 8.0, Relaxed: 2.0] [Valence: 3.0, Arousal: 6.0
Task(r0a3_Math) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 6.0, Relaxed: 5.0] [Valence: 5.0, Arousal: 3.0
Task(r0a3_Reading) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 6.0, Relaxed: 5.0] [Valence: 6.0, Arousal: 3.0
Task(r0a3_Relax) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 1.0, Relaxed: 10.0] [Valence: 6.0, Arousal: 2.0
Task(r0a3_Speaking) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 2.0, Relaxed: 9.0] [Valence: 9.0, Arousal: 7.0
Task(r0a3_Stroop) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 6.0, Relaxed: 2.0] [Valence: 5.0, Arousal: 3.0
Task(r0a3_Video1) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 6.0, Relaxed: 10.0] [Valence: 9.0, Arousal: 9.0
Task(r0a3_Video2) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 5.0, Relaxed: 7.0] [Valence: 8.0, Arousal: 8.0
Task(qx2o_Breathing) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 2.0, Relaxed: 9.0] [Valence: 8.0, Arousal: 2.0
Task(qx2o_Counting1) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 5.0, Relaxed: 7.0] [Valence: 5.0, Arousal: 5.0
Task(qx2o_Counting2) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 4.0] [Valence: 5.0, Arousal: 6.0
Task(qx2o_Counting3) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 3.0] [Valence: 5.0, Arousal: 6.0
Task(qx2o_Math) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 6.0] [Valence: 5.0, Arousal: 6.0
Task(qx2o_Reading) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 2.0, Relaxed: 8.0] [Valence: 7.0, Arousal: 3.0
Task(qx2o_Relax) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 5.0, Relaxed: 4.0] [Valence: 5.0, Arousal: 3.0
Task(qx2o_Speaking) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 3.0] [Valence: 2.0, Arousal: 8.0
Task(qx2o_Stroop) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 2.0, Relaxed: 7.0] [Valence: 7.0, Arousal: 2.0
Task(qx2o_Video1) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 1.0, Relaxed: 9.0] [Valence: 9.0, Arousal: 2.0
Task(qx2o_Video2) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 2.0, Relaxed: 9.0] [Valence: 9.0, Arousal: 2.0
Task(wssm_Breathing) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 0.0, Relaxed: 8.0] [Valence: 6.0, Arousal: 1.0
Task(wssm_Counting1) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 5.0] [Valence: 4.0, Arousal: 7.0
Task(wssm_Counting2) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 2.0] [Valence: 2.0, Arousal: 7.0
Task(wssm_Counting3) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 4.0, Relaxed: 4.0] [Valence: 5.0, Arousal: 6.0
Task(wssm_Math) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 1.0, Relaxed: 10.0] [Valence: 9.0, Arousal: 10.0
Task(wssm_Reading) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 2.0, Relaxed: 6.0] [Valence: 5.0, Arousal: 8.0
Task(wssm_Relax) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 0.0, Relaxed: 7.0] [Valence: 7.0, Arousal: 0.0
Task(wssm_Speaking) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 3.0] [Valence: 2.0, Arousal: 6.0
Task(wssm_Stroop) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 4.0, Relaxed: 5.0] [Valence: 5.0, Arousal: 6.0
Task(wssm_Video1) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 3.0, Relaxed: 5.0] [Valence: 5.0, Arousal: 4.0
Task(wssm_Video2) B(NoStressed[0]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 2.0, Relaxed: 7.0] [Valence: 5.0, Arousal: 2.0
Task(ctzy_Breathing) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 0.0, Relaxed: 9.0] [Valence: 7.0, Arousal: 7.0
Task(ctzy_Counting1) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 6.0, Relaxed: 7.0] [Valence: 7.0, Arousal: 9.0
Task(ctzy_Counting2) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 6.0, Relaxed: 4.0] [Valence: 6.0, Arousal: 9.0
Task(ctzy_Counting3) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 6.0, Relaxed: 5.0] [Valence: 9.0, Arousal: 9.0
Task(ctzy_Math) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 8.0, Relaxed: 2.0] [Valence: 9.0, Arousal: 10.0
Task(ctzy_Reading) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 5.0] [Valence: 4.0, Arousal: 7.0
Task(ctzy_Relax) B(NoStressed[0]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 1.0, Relaxed: 9.0] [Valence: 5.0, Arousal: 1.0
Task(ctzy_Speaking) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 7.0, Relaxed: 4.0] [Valence: 9.0, Arousal: 9.0
Task(ctzy_Stroop) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 7.0, Relaxed: 2.0] [Valence: 10.0, Arousal: 10.0
Task(ctzy_Video1) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 4.0] [Valence: 4.0, Arousal: 7.0
Task(ctzy_Video2) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 4.0] [Valence: 5.0, Arousal: 5.0
Task(uyrl_Breathing) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 1.0, Relaxed: 9.0] [Valence: 6.0, Arousal: 5.0
Task(uyrl_Counting1) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 3.0, Relaxed: 6.0] [Valence: 5.0, Arousal: 6.0
Task(uyrl_Counting2) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 5.0, Relaxed: 6.0] [Valence: 5.0, Arousal: 5.0
Task(uyrl_Counting3) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 6.0, Relaxed: 4.0] [Valence: 7.0, Arousal: 6.0
Task(uyrl_Math) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 4.0] [Valence: 3.0, Arousal: 5.0
Task(uyrl_Reading) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 4.0, Relaxed: 6.0] [Valence: 5.0, Arousal: 7.0
Task(uyrl_Relax) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 2.0, Relaxed: 8.0] [Valence: 5.0, Arousal: 4.0
Task(uyrl_Speaking) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 4.0] [Valence: 4.0, Arousal: 5.0
Task(uyrl_Stroop) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 6.0, Relaxed: 4.0] [Valence: 6.0, Arousal: 7.0
Task(uyrl_Video1) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 3.0, Relaxed: 7.0] [Valence: 6.0, Arousal: 6.0
Task(uyrl_Video2) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 3.0, Relaxed: 7.0] [Valence: 6.0, Arousal: 6.0
Task(v8mh_Breathing) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 0.0, Relaxed: 9.0] [Valence: 6.0, Arousal: 4.0
Task(v8mh_Counting1) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 3.0] [Valence: 4.0, Arousal: 9.0
Task(v8mh_Counting2) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 3.0] [Valence: 4.0, Arousal: 8.0
Task(v8mh_Counting3) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 3.0] [Valence: 4.0, Arousal: 9.0
Task(v8mh_Math) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 5.0, Relaxed: 4.0] [Valence: 5.0, Arousal: 9.0
Task(v8mh_Reading) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 6.0] [Valence: 5.0, Arousal: 6.0
Task(v8mh_Relax) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 3.0, Relaxed: 7.0] [Valence: 6.0, Arousal: 4.0
Task(v8mh_Speaking) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 4.0, Relaxed: 4.0] [Valence: 6.0, Arousal: 4.0
Task(v8mh_Stroop) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 2.0] [Valence: 4.0, Arousal: 8.0
Task(v8mh_Video1) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 1.0, Relaxed: 8.0] [Valence: 8.0, Arousal: 8.0
Task(v8mh_Video2) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 3.0, Relaxed: 8.0] [Valence: 5.0, Arousal: 8.0
Task(45lx_Breathing) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 0.0, Relaxed: 7.0] [Valence: 8.0, Arousal: 4.0
Task(45lx_Counting1) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 2.0] [Valence: 5.0, Arousal: 6.0
Task(45lx_Counting2) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 8.0, Relaxed: 1.0] [Valence: 5.0, Arousal: 6.0
Task(45lx_Counting3) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 8.0, Relaxed: 1.0] [Valence: 5.0, Arousal: 8.0
Task(45lx_Math) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 3.0, Relaxed: 6.0] [Valence: 6.0, Arousal: 6.0
Task(45lx_Reading) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 3.0, Relaxed: 7.0] [Valence: 6.0, Arousal: 6.0
Task(45lx_Relax) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 0.0, Relaxed: 7.0] [Valence: 6.0, Arousal: 1.0
Task(45lx_Speaking) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 8.0, Relaxed: 3.0] [Valence: 3.0, Arousal: 8.0
Task(45lx_Stroop) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 4.0] [Valence: 5.0, Arousal: 7.0
Task(45lx_Video1) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 0.0, Relaxed: 7.0] [Valence: 6.0, Arousal: 3.0
Task(45lx_Video2) B(NoStressed[0]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 3.0, Relaxed: 4.0] [Valence: 4.0, Arousal: 5.0
Task(r3zm_Breathing) B(NoStressed[0]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 3.0, Relaxed: 6.0] [Valence: 5.0, Arousal: 2.0
Task(r3zm_Counting1) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 5.0, Relaxed: 5.0] [Valence: 5.0, Arousal: 7.0
Task(r3zm_Counting2) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 4.0] [Valence: 5.0, Arousal: 7.0
Task(r3zm_Counting3) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 3.0] [Valence: 4.0, Arousal: 7.0
Task(r3zm_Math) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 6.0, Relaxed: 3.0] [Valence: 6.0, Arousal: 7.0
Task(r3zm_Reading) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 3.0] [Valence: 4.0, Arousal: 7.0
Task(r3zm_Relax) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 2.0, Relaxed: 7.0] [Valence: 6.0, Arousal: 1.0
Task(r3zm_Speaking) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 2.0, Relaxed: 7.0] [Valence: 7.0, Arousal: 5.0
Task(r3zm_Stroop) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 3.0] [Valence: 3.0, Arousal: 8.0
Task(r3zm_Video1) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 8.0, Relaxed: 1.0] [Valence: 1.0, Arousal: 8.0
Task(r3zm_Video2) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 2.0] [Valence: 3.0, Arousal: 6.0
Task(2hpu_Breathing) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 2.0, Relaxed: 9.0] [Valence: 6.0, Arousal: 3.0
Task(2hpu_Counting1) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 7.0, Relaxed: 4.0] [Valence: 8.0, Arousal: 9.0
Task(2hpu_Counting2) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 6.0, Relaxed: 6.0] [Valence: 9.0, Arousal: 10.0
Task(2hpu_Counting3) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 5.0, Relaxed: 2.0] [Valence: 8.0, Arousal: 9.0
Task(2hpu_Math) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 4.0, Relaxed: 4.0] [Valence: 9.0, Arousal: 9.0
Task(2hpu_Reading) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 4.0, Relaxed: 7.0] [Valence: 6.0, Arousal: 7.0
Task(2hpu_Relax) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 3.0, Relaxed: 8.0] [Valence: 6.0, Arousal: 6.0
Task(2hpu_Speaking) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 3.0] [Valence: 4.0, Arousal: 7.0
Task(2hpu_Stroop) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 3.0] [Valence: 5.0, Arousal: 8.0
Task(2hpu_Video1) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 3.0, Relaxed: 5.0] [Valence: 6.0, Arousal: 7.0
Task(2hpu_Video2) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 4.0, Relaxed: 5.0] [Valence: 5.0, Arousal: 7.0
Task(4woj_Breathing) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 3.0, Relaxed: 8.0] [Valence: 7.0, Arousal: 3.0
Task(4woj_Counting1) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 8.0, Relaxed: 3.0] [Valence: 4.0, Arousal: 7.0
Task(4woj_Counting2) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 4.0, Relaxed: 6.0] [Valence: 6.0, Arousal: 8.0
Task(4woj_Counting3) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 5.0, Relaxed: 5.0] [Valence: 6.0, Arousal: 8.0
Task(4woj_Math) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 3.0, Relaxed: 8.0] [Valence: 7.0, Arousal: 8.0
Task(4woj_Reading) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 4.0] [Valence: 5.0, Arousal: 8.0
Task(4woj_Relax) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 1.0, Relaxed: 8.0] [Valence: 8.0, Arousal: 2.0
Task(4woj_Speaking) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 8.0, Relaxed: 2.0] [Valence: 4.0, Arousal: 8.0
